TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG
ENYIMBA,38,20,10,8,43,25,18,70,1.131578947,0.6578947368,1.842105263
KANO PILLARS,38,19,9,10,48,29,19,66,1.263157895,0.7631578947,1.736842105
SUNSHINE STARS,38,19,7,12,39,30,9,64,1.026315789,0.7894736842,1.684210526
KWARA UNITED,38,18,6,14,43,34,9,60,1.131578947,0.8947368421,1.578947368
ENUGU RANGERS,38,15,13,10,34,22,12,58,0.8947368421,0.5789473684,1.526315789
WARRI WOLVES,38,17,7,14,50,43,7,58,1.315789474,1.131578947,1.526315789
NIGER TORNADOES,38,16,7,15,42,38,4,55,1.105263158,1,1.447368421
HEARTLAND FC,38,16,6,16,37,33,4,54,0.9736842105,0.8684210526,1.421052632
GOMBE UNITED,38,16,4,18,34,33,1,52,0.8947368421,0.8684210526,1.368421053
KADUNA UNITED,38,15,7,16,40,45,-5,52,1.052631579,1.184210526,1.368421053
SHOOTING STARS,38,14,10,14,27,33,-6,52,0.7105263158,0.8684210526,1.368421053
RIVERS UNITED,38,13,12,13,39,39,0,51,1.026315789,1.026315789,1.342105263
LOBI STARS,38,14,9,15,34,37,-3,51,0.8947368421,0.9736842105,1.342105263
OCEAN BOYS,38,14,8,16,32,36,-4,50,0.8421052632,0.9473684211,1.315789474
ZAMFARA UNITED,38,13,10,15,30,46,-16,49,0.7894736842,1.210526316,1.289473684
SHARKS FC,38,14,6,18,45,41,4,48,1.184210526,1.078947368,1.263157895
WIKKI TOURISTS,38,13,8,17,40,38,2,47,1.052631579,1,1.236842105
BAYELSA UNITED,38,13,8,17,40,46,-6,47,1.052631579,1.210526316,1.236842105
GATEWAY FC,38,11,7,20,33,46,-13,40,0.8684210526,1.210526316,1.052631579
RANCHERS BEES,38,10,6,22,23,59,-36,36,0.6052631579,1.552631579,0.9473684211
