TEAM,GP,WINS,DRAWS,LOSSES,GF,GA,GD,POINTS,GFPG,GAPG,PPG
AKWA UTD,38,19,14,5,53,24,29,71,1.394736842,0.6315789474,1.868421053
ENYIMBA,38,18,12,8,41,33,8,66,1.078947368,0.8684210526,1.736842105
KWARA UTD,38,19,8,11,48,28,20,65,1.263157895,0.7368421053,1.710526316
KANO PILLARS,38,19,7,12,38,29,9,64,1,0.7631578947,1.684210526
NASARAWA UTD,38,19,6,13,54,38,16,63,1.421052632,1,1.657894737
RIVERS UTD,38,18,9,11,48,36,12,63,1.263157895,0.9473684211,1.657894737
ENUGU RANGERS,38,18,8,12,43,31,12,62,1.131578947,0.8157894737,1.631578947
LOBI STARS,38,17,7,14,43,39,4,58,1.131578947,1.026315789,1.526315789
PLATEAU UTD,38,14,9,15,45,35,10,51,1.184210526,0.9210526316,1.342105263
MFM FC,38,13,12,13,35,35,0,51,0.9210526316,0.9210526316,1.342105263
DAKKADA FC,38,15,5,18,37,47,-10,50,0.9736842105,1.236842105,1.315789474
KATSINA UTD,38,14,7,17,35,42,-7,49,0.9210526316,1.105263158,1.289473684
FC HEARTLAND,38,13,9,16,43,50,-7,48,1.131578947,1.315789474,1.263157895
ABIA WARRIORS,38,12,11,15,48,42,6,47,1.263157895,1.105263158,1.236842105
WIKKI TOURISTS,38,12,9,17,40,47,-7,45,1.052631579,1.236842105,1.184210526
SUNSHINE STARS,38,11,12,15,28,39,-11,45,0.7368421053,1.026315789,1.184210526
WARRI WOLVES,38,11,8,19,30,45,-15,41,0.7894736842,1.184210526,1.078947368
JIGAWA FC,38,11,10,17,29,46,-17,43,0.7631578947,1.210526316,1.131578947
IFEANYI UBAH,38,9,12,17,33,51,-18,39,0.8684210526,1.342105263,1.026315789
ADAMAWA UTD,38,5,11,22,20,54,-34,26,0.5263157895,1.421052632,0.6842105263
