TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG,OPPG,RTP,XG,XGA
REMO STARS,10,6,1,3,16,11,5,19,1.6,1.1,1.9,1.273888889,2.420388889,13.42,10.28
LOBI STARS,10,6,2,2,14,9,5,20,1.4,0.9,2,1.268888889,2.537777778,12.23,11.6
ENUGU RANGERS,10,4,3,3,15,11,4,15,1.5,1.1,1.5,1.293888889,1.940833333,13.32,9.55
SHOOTING STARS,10,5,2,3,14,12,2,17,1.4,1.2,1.7,1.283888889,2.182611111,12.46,11.64
BENDEL INSURANCE,10,3,5,2,7,5,2,14,0.7,0.5,1.4,1.298888889,1.818444444,11.57,9.53
GOMBE UNITED,10,4,0,6,6,14,-8,12,0.6,1.4,1.2,1.308888889,1.570666667,11.57,11.46
NIGER TORNADOES,10,3,2,5,6,10,-4,11,0.6,1,1.1,1.313888889,1.445277778,9.48,12.15
PLATEAU UNITED ,9,4,1,4,7,6,1,13,0.7777777778,0.6666666667,1.444444444,1.296666667,1.872962963,12.67,8.67
KANO PILLARS,10,4,1,5,7,10,-3,13,0.7,1,1.3,1.303888889,1.695055556,11.83,10.04
ABIA WARRIORS,10,5,0,5,9,11,-2,15,0.9,1.1,1.5,1.293888889,1.940833333,13.71,10.7
SPORTING LAGOS,10,3,3,4,10,8,2,12,1,0.8,1.2,1.308888889,1.570666667,6.74,19.85
KATSINA UTD,10,3,4,3,8,8,0,13,0.8,0.8,1.3,1.303888889,1.695055556,9.56,13.84
KWARA UTD,10,3,4,3,10,9,1,13,1,0.9,1.3,1.303888889,1.695055556,10.88,12.93
DOMA UNITED,10,5,3,2,10,5,5,18,1,0.5,1.8,1.278888889,2.302,8,16.54
RIVERS UTD,9,3,3,3,7,6,1,12,0.7777777778,0.6666666667,1.333333333,1.302222222,1.736296296,12.07,8.28
SUNSHINE STARS,10,3,4,3,13,13,0,13,1.3,1.3,1.3,1.303888889,1.695055556,11.37,11.94
HEARTLAND,10,0,6,4,8,13,-5,6,0.8,1.3,0.6,1.338888889,0.8033333333,9.81,13.4
ENYIMBA,10,5,1,4,8,8,0,16,0.8,0.8,1.6,1.288888889,2.062222222,12.81,9.08
BAYELSA UTD,10,2,3,5,13,18,-5,9,1.3,1.8,0.9,1.323888889,1.1915,14.64,8.8
AKWA UTD,10,2,4,4,9,12,-3,10,0.9,1.2,1,1.318888889,1.318888889,13.18,9.9
