MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,NIGER TORNADOES,50,,,0,,,0,1,0,1.61,0.9
10-08-2023,KWARA UNITED,50,,,0,,,0,0,1,1.25,1.12
10-15-2023,KANO PILLARS,50,,,0,,,0,1,0,1.29,1.02
10-22-2023,LOBI STARS,50,,,0,,,0,0,2,1.12,1.35
10-29-2023,HEARTLAND,51,11,2,9,4,0,4,1,0,1.78,0.84
11-01-2023,SUNSHINE STARS,50,,,0,,,0,1,2,1.1,1.22
11-05-2023,KATSINA UNITED,50,,,0,,,0,2,1,1.71,0.78
11-12-2023,PLATEAU UNITED,50,,,0,,,0,1,3,1.55,0.98
11-19-2023,RIVERS UNITED,50,5,2,3,11,5,6,1,2,0.97,1.5
11-26-2023,ENUGU RANGERS,50,,,0,,,0,1,0,1.33,0.99
