MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,BAYELSA UNITED,51,11,6,5,21,9,12,3,5,0.82,1.4
10-08-2023,SPORTING LAGOS,50,,,0,,,0,0,0,2.24,0.58
10-15-2023,ENYIMBA,48,8,4,4,22,11,11,2,3,0.87,1.44
10-22-2023,SHOOTING STARS,50,9,6,3,2,0,2,0,0,1.7,0.82
10-28-2023,BENDEL INSURANCE,50,2,2,0,10,6,4,0,0,0.86,1.21
11-01-2023,GOMBE UNITED,56,17,5,12,7,1,6,1,0,1.66,0.77
11-05-2023,PLATEAU UNITED,54,7,2,5,2,0,2,0,0,1.42,0.96
11-11-2023,DOMA UNITED,47,,,0,,,0,0,1,1.37,0.7
11-19-2023,REMO STARS,46,11,6,5,10,3,7,3,2,1.39,0.99
11-26-2023,NIGER TORNADOES,47,9,0,9,8,3,5,0,1,0.85,1.03
