MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,AKWA UNITED,49,21,9,12,11,6,5,5,3,1.4,0.82
10-07-2023,DOMA UNITED,50,,,0,,,0,0,2,1.66,0.68
10-15-2023,REMO STARS,62,14,4,10,7,2,5,1,2,1.56,0.94
10-21-2023,NIGER TORNADOES,43,14,4,10,9,2,7,0,1,1.22,0.83
10-29-2023,KWARA UNITED,46,9,4,5,8,2,6,2,1,1.83,0.81
11-01-2023,KANO PILLARS,50,,,0,,,0,0,3,1.05,1.14
11-06-2023,LOBI STARS,59,13,5,8,7,4,3,1,2,1.69,0.79
11-15-2023,HEARTLAND,50,,,0,,,0,2,2,1.27,0.9
11-19-2023,SUNSHINE STARS,50,,,0,,,0,1,1,1.72,0.79
11-26-2023,KATSINA UNITED,50,,,0,,,0,1,1,1.24,1.1
