MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
10-07-2023,SHOOTING STARS,50,,,0,,,0,2,0,1.36,0.86
10-14-2023,PLATEAU UNITED,47,7,3,4,7,2,5,1,0,1.22,0.95
10-22-2023,GOMBE UNITED,50,,,0,,,0,0,1,1.05,1.01
10-28-2023,AKWA UNITED,50,10,6,4,2,2,0,0,0,1.21,0.86
11-05-2023,REMO STARS,50,6,3,3,7,2,5,1,0,1.17,0.96
11-09-2023,DOMA UNITED,41,6,2,4,6,2,4,0,0,1.47,0.71
11-12-2023,NIGER TORNADOES,39,5,0,5,10,0,10,0,0,0.99,0.84
11-18-2023,KWARA UNITED,50,11,6,5,5,3,2,2,2,1.35,0.82
11-22-2023,ENYIMBA,35,6,3,3,16,6,10,1,2,0.87,1.37
11-26-2023,KANO PILLARS,50,,,,,,,0,0,0.88,1.15
