MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA,XG/SHT,XGA/SHT
09-20-2023,ENUGU RANGERS,50,5,3,2,11,4,7,1,2,0.58,1.94,0.116,0.1763636364
10-07-2023,BAYELSA UNITED,50,5,3,2,11,4,7,2,0,0.68,1.66,0.136,0.1509090909
10-15-2023,SPORTING LAGOS,40,9,5,4,17,5,12,0,0,2.38,0.96,0.2644444444,0.05647058824
10-29-2023,SHOOTING STARS,37,11,3,8,20,9,11,1,3,0.51,2.37,0.04636363636,0.1185
11-05-2023,GOMBE UNITED,50,5,3,2,11,4,7,3,0,0.52,2.1,0.104,0.1909090909
11-08-2023,BENDEL INSURANCE,59,6,2,4,6,2,4,0,0,0.71,1.47,0.1183333333,0.245
11-11-2023,AKWA UNITED,53,1,1,0,2,0,2,1,0,0.7,1.37,0.7,0.685
11-15-2023,ENYIMBA,50,5,3,2,11,4,7,1,0,0.7,1.28,0.14,0.1163636364
11-18-2023,PLATEAU UNITED,48,7,5,2,12,4,8,1,0,0.7,1.45,0.1,0.1208333333
11-25-2023,REMO STARS,43,13,2,11,24,9,15,0,0,0.52,1.94,0.04,0.08083333333
