MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,DOMA UNITED,50,,,,,,,2,1,1.94,0.58
10-08-2023,REMO STARS,42,14,5,9,8,5,3,1,2,0.84,1.3
10-15-2023,NIGER TORNADOES,50,8,4,4,4,1,3,2,1,1.63,0.72
10-22-2023,KWARA UNITED,50,,,0,,,0,1,1,1.05,0.99
10-28-2023,KANO PILLARS,50,,,0,,,0,4,1,1.36,0.89
11-02-2023,LOBI STARS,50,5,3,2,13,6,7,1,2,0.99,1.24
11-05-2023,HEARTLAND,50,,,0,,,0,2,0,1.84,0.66
11-12-2023,SUNSHINE STARS,42,8,5,3,19,4,15,2,2,0.96,1.16
11-19-2023,KATSINA UNITED,50,,,0,,,0,0,0,1.72,0.68
11-26-2023,ABIA WARRIORS,50,,,0,,,0,0,1,0.99,1.33
