MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
10-08-2023,GOMBE UNITED,51,5,2,3,8,4,4,0,2,1.06,0.96
10-15-2023,AKWA UNITED,52,22,11,11,8,4,4,3,2,1.44,0.87
11-01-2023,NIGER TORNADOES,45,6,1,5,8,2,6,0,0,1,0.88
11-05-2023,KWARA UNITED,50,,,0,,,0,1,0,1.77,0.78
11-12-2023,KANO PILLARS,50,,,0,,,0,0,1,0.83,1.23
11-15-2023,DOMA UNITED,50,,,0,,,0,0,1,1.28,0.7
11-19-2023,LOBI STARS,62,10,4,6,2,1,1,1,0,1.55,0.84
11-22-2023,BENDEL INSURANCE,65,16,6,10,6,3,3,2,1,1.37,0.87
11-26-2023,HEARTLAND,50,8,3,5,11,4,7,1,0,1.05,0.94
11-29-2023,REMO STARS,63,17,7,10,6,2,4,0,1,1.46,1.01
