MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
10-02-2023,SPORTING LAGOS,49,11,5,6,13,7,6,0,2,1.69,0.72
10-08-2023,ENYIMBA,49,8,4,4,5,2,3,2,0,0.96,1.06
10-15-2023,SHOOTING STARS,44,6,4,2,18,7,11,1,2,0.92,1.49
10-22-2023,BENDEL INSURANCE,47,,,0,,,0,1,0,1.01,1.05
10-29-2023,PLATEAU UNITED,40,11,5,6,4,2,2,1,0,1.07,1.15
11-01-2023,AKWA UNITED,44,7,1,6,17,5,12,0,1,0.77,1.66
11-05-2023,DOMA UNITED,50,,,0,,,0,0,3,2.1,0.52
11-12-2023,REMO STARS,47,9,3,6,15,9,6,0,4,0.76,1.55
11-19-2023,NIGER TORNADOES,52,9,2,7,6,2,4,1,0,1.29,1.01
11-26-2023,KWARA UNITED,48,,,0,,,0,0,2,1,1.25
