MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,LOBI STARS,50,,,,,,,2,2,1.05,1.05
10-08-2023,PLATEAU UNITED,50,,,,,,,0,1,0.68,1.96
10-14-2023,SUNSHINE STARS,54,6,3,3,8,4,4,1,1,0.83,1.52
10-22-2023,KATSINA UNITED,50,7,2,5,11,1,10,1,1,1.25,0.94
10-29-2023,ABIA WARRIORS,49,4,0,4,11,2,9,0,1,0.84,1.78
11-01-2023,RIVERS UNITED,53,10,5,5,11,5,6,1,1,0.87,1.19
11-05-2023,ENUGU RANGERS,50,,,0,,,0,0,2,0.66,1.84
11-15-2023,BAYELSA UNITED,50,,,0,,,0,2,2,0.9,1.27
11-19-2023,SPORTING LAGOS,50,7,4,3,17,5,12,1,1,1.79,0.8
11-25-2023,ENYIMBA,50,11,4,7,8,3,5,0,1,0.94,1.05
