MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,SUNSHINE STARS,50,,,,,,,0,1,1.06,1.05
10-07-2023,KATSINA UNITED,50,,,,,,,1,0,1.63,0.61
10-15-2023,ABIA WARRIORS,50,,,,,,,0,1,1.02,1.29
10-22-2023,RIVERS UNITED,50,,,,,,,1,0,1.23,0.9
10-28-2023,ENUGU RANGERS,35,,,,,,,1,4,0.89,1.36
11-01-2023,BAYELSA UNITED,50,,,,,,,3,0,1.14,1.05
11-06-2023,SPORTING LAGOS,52,15,5,10,13,7,6,0,3,1.45,0.71
11-12-2023,ENYIMBA,50,,,,,,,1,0,1.23,0.83
11-19-2023,SHOOTING STARS,50,,,,,,,0,1,1.03,1.36
11-26-2023,BENDEL INSURANCE,50,,,,,,,0,0,1.15,0.88
