MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,KWARA UNITED,50,,,0,,,0,1,0,1.32,1.14
10-08-2023,KANO PILLARS,50,,,0,,,0,1,0,0.61,1.63
10-15-2023,LOBI STARS,66,12,3,9,5,1,4,0,0,1.23,1.08
10-22-2023,HEARTLAND,50,11,1,10,7,2,5,1,1,0.94,1.25
10-29-2023,SUNSHINE STARS,50,,,0,,,0,3,2,1.19,1.06
11-01-2023,PLATEAU UNITED,41,4,1,3,12,1,11,0,1,0.64,1.86
11-05-2023,ABIA WARRIORS,50,,,0,,,0,1,2,0.78,1.71
11-12-2023,RIVERS UNITED,50,,,0,,,0,1,0,1.08,1.14
11-19-2023,ENUGU RANGERS,50,,,0,,,0,0,0,0.68,1.72
11-26-2023,BAYELSA UNITED,50,,,0,,,0,1,1,1.09,1.25
