MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,KATSINA UNITED,50,,,,,,,0,1,1.14,1.32
10-08-2023,ABIA WARRIORS,50,,,,,,,1,0,1.12,1.25
10-15-2023,RIVERS UNITED,26,9,2,7,10,3,7,0,0,0.76,1.74
10-22-2023,KWARA UNITED,50,,,,,,,1,1,0.99,1.05
10-29-2023,BAYELSA UNITED,54,8,2,6,9,4,5,1,2,0.81,1.83
11-01-2023,SPORTING LAGOS,50,,,,,,,2,1,2.08,0.53
11-05-2023,ENYIMBA,50,,,,,,,0,1,0.78,1.77
11-12-2023,SHOOTING STARS,50,,,,,,,1,1,1.15,1.07
11-18-2023,BENDEL INSURANCE,50,5,3,2,11,6,5,2,2,0.8,1.37
11-26-2023,GOMBE UNITED,50,,,,,,,2,0,1.25,1
