MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,HEARTLAND,50,,,0,,,0,2,2,1.05,1.05
10-08-2023,SUNSHINE STARS,60,15,10,5,8,7,1,3,2,1.31,0.9
10-14-2023,KATSINA UNITED,34,5,1,4,12,3,9,0,0,1.08,1.23
10-22-2023,ABIA WARRIORS,50,,,0,,,0,2,0,1.35,1.12
10-29-2023,RIVERS UNITED,50,,,0,,,0,0,1,0.78,1.54
11-02-2023,ENUGU RANGERS,50,13,6,7,5,3,2,2,1,1.24,0.99
11-06-2023,LOBI STARS,41,7,4,3,13,5,8,2,1,0.79,1.69
11-12-2023,SPORTING LAGOS,46,12,3,9,8,3,5,1,0,2.36,0.56
11-19-2023,ENYIMBA,38,2,1,1,10,4,6,0,1,0.84,1.55
11-26-2023,SHOOTING STARS,59,14,8,6,6,4,2,2,1,1.43,0.97
