MATCH DATE,OPPONENT,POSSESSION,TSH,SOT,SOFT,TSHC,TSCOT,TSCOFT,GS,GC,XG,XGA
09-30-2023,PLATEAU UNITED,49,14,6,8,5,3,2,2,1,1.2,1.11
10-07-2023,BENDEL INSURANCE,50,,,0,,,0,0,2,0.86,1.36
10-15-2023,GOMBE UNITED,56,18,7,11,6,4,2,2,1,1.49,0.92
10-22-2023,AKWA UNITED,50,2,0,2,9,6,3,0,0,0.82,1.7
10-29-2023,DOMA UNITED,63,20,9,11,11,3,8,3,1,2.37,0.51
11-01-2023,REMO STARS,50,16,3,13,10,6,4,0,3,0.82,1.51
11-05-2023,NIGER TORNADOES,53,19,9,10,8,1,7,4,1,1.5,0.92
11-12-2023,KWARA UNITED,50,,,0,,,0,1,1,1.07,1.15
11-19-2023,KANO PILLARS,50,,,0,,,0,1,0,1.36,1.03
11-26-2023,LOBI STARS,41,6,4,2,14,8,6,1,2,0.97,1.43
