YEAR,TEAM,GP,W,D,L,GF,GA,GD,P,GFPG,GAPG,PPG,HGP,HW,HD,HL,HGF,HGA,HGD,HP,AGP,AW,AD,AL,AGF,AGA,AGD,AP
2010,ENYIMBA,38,20,10,8,43,25,18,70,1.131578947,0.6578947368,1.842105263,19,16,3,0,30,6,24,51,19,4,7,8,13,19,-6,19
2011,RIVERS UNITED,38,23,4,11,49,30,19,73,1.289473684,0.7894736842,1.921052632,19,18,1,0,31,1,30,55,19,5,3,11,13,25,-12,18
2012,KANO PILLARS,36,17,10,9,43,25,18,61,1.194444444,0.6944444444,1.694444444,18,16,2,0,32,4,28,50,18,1,8,9,11,21,-10,11
2013,KANO PILLARS,38,20,3,15,45,39,6,63,1.184210526,1.026315789,1.657894737,19,18,1,0,36,6,30,55,19,2,2,15,9,33,-24,8
2014,KANO PILLARS,38,19,8,11,57,41,16,65,1.5,1.078947368,1.710526316,19,17,2,0,42,13,29,53,19,2,6,11,15,28,-13,12
2015,ENYIMBA,38,19,13,6,48,27,21,70,1.263157895,0.7105263158,1.842105263,19,14,5,0,32,9,23,47,19,5,8,6,16,18,-2,23
2017,PLATEAU UNITED,38,19,9,10,49,25,24,66,1.289473684,0.6578947368,1.736842105,19,17,2,0,39,6,33,53,19,2,7,10,10,19,-9,13
2018,LOBI STARS,24,13,4,7,25,16,9,43,1.041666667,0.6666666667,1.791666667,12,11,1,0,21,3,18,34,12,2,3,7,7,12,-5,9
2020,PLATEAU UNITED,25,14,7,4,36,15,21,49,1.44,0.6,1.96,13,11,2,0,29,6,23,35,12,3,5,4,7,9,-2,14
2021,AKWA UTD,38,19,14,5,53,24,29,71,1.394736842,0.6315789474,1.868421053,19,16,3,0,26,3,23,51,19,3,11,5,15,16,-1,20
2022,RIVERS UTD,38,23,8,7,58,24,34,77,1.526315789,0.6315789474,2.026315789,19,18,1,0,41,5,36,55,19,5,7,7,17,19,-2,22
